"Pašto skyrius",Švenčionys,"Vilniaus g. 18"
Senukai,Utena,"J. Basanavičiaus g. 52"
Šilas,Noreikiškės,"Šiltnamių g. 19"
"Rimi Naujoji Vilnia",Vilnius,"Šiaurės g. 37"
Aibė,Mickūnai,"Vilniaus g. 17A"
Norfa,Vilnius,"Salininkų g. 129A"
Norfa,Vilnius,"A.P Kavoliuko g. 6"
"Pašto skyrius",Kalvarija,"Laisvės g. 1"
"Pašto skyrius",Žiežmariai,"Žąslių g. 5"
"Express Market",Kaunas,"Kalniečių g. 172 "
"Pašto skyrius",Molėtai,"Vilniaus g. 43"
"Pašto skyrius",Vievis,"Vilniaus g. 55A"
LIDL,Elektrėnai,"Sabališkių g. 1D"
"Pašto skyrius",Pakruojis,"Vytauto Didžiojo g. 17"
LIDL,Palanga,"Klaipėdos pl. 59"
"Pašto skyrius",Tauragė,"Dariaus ir Girėno g. 16 "
"Rimi Europos",Kaunas,"Europos pr. 43"
Šilas,Kaunas,"Pašilės g. 108 "
Šilas,Kaunas,"Lubinų g. 155"
"Dominikonų g. ",Vilnius,"Dominikonų g. 4"
LIDL,Kaunas,"Veiverių g. 146"
Savas,Kaunas,"Savanorių pr. 346"
"Rimi Varniai",Kaunas,"Varnių g. 41"
"Maxima X",Kaunas,"Vandžiogalos pl. 106A"
Pigu.lt,Vilnius,"Saltoniškių g. 29"
Nemėžis,Nemėžis,"V.Sirokomlės g. 4"
Norfa,Alytus,"Topolių g. 1"
"IKI Baltai",Kaunas,"Baltų pr. 81"
"Express Market",Kaunas,"Marių g. 2"
"Express Market",Kaunas,"Pilėnų g. 1"
"IKI Vaišvydava",Kaunas,"Didžioji g. 98"
GO9,Vilnius,"Gedimino pr. 9"
"Maxima XX",Vilnius,"Sausio 13-osios g. 2"
"Rimi Šiaurės miestelis",Vilnius,"Žirmūnų g. 64"
"IKI Šeškinė",Vilnius,"Šeškinės g. 32"
"IKI Pavasaris",Vilnius,"Jonažolių g. 1"
"Rimi Pilaitė",Vilnius,"Vydūno g. 4"
Norfa,Vilnius,"Rygos g. 49"
"Maxima X",Vilnius,"Dariaus ir Girėno g. 19B"
"Maxima X",Vilnius,"Nemenčinės pl. 33"
"Domus Pro",Vilnius,"Ukmergės g. 308"
"Maxima X",Vilnius,"Medeinos g. 39"
"Express Market",Vilnius,"Polocko g.42a"
"Jeruzalės siuntų centras",Vilnius,"Jeruzalės g. 14"
"Maxima X",Vilnius,"Savanorių pr. 31"
"Rimi Mylia",Vilnius,"Kedrų g. 4"
"IKI Baltupiai",Vilnius,"Didlaukio g. 80A"
"Helios City",Vilnius,"Savanorių pr. 1"
"IKI Pašilaičiai",Vilnius,"Gabijos g. 34"
Mandarinas,Vilnius,"Ateities g. 91"
Maxima,Vilnius,"Gilužio g. 5"
Mada,Vilnius,"Viršuliškių g. 40 "
Norfa,Vilnius,"Genių g. 10A"
